English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
adherent,n,follower,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adiposis,n,overweight,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adjacent,adj,"near, next, neighboring",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adjective,n,-,mark-word (Barnes),mark-word ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
adjunct,n,"helpmate, sidekick",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adjust,vb,"set, fit",forstell (cf. NHG/Du. verstellen)\n(see stell),forstell ,cf. NHG/Du. verstellen)\n,see stell),,,,,,,,,,,,,,,,,,,,,,,
administer,vb,"wield, deal, lot,",bewit,bewit,,,,,,,,,,,,,,,,,,,,,,,,,
administration,n,dealing,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
admiral,n,-,"fleethelm, fleetleader",fleethelm, fleetleader,,,,,,,,,,,,,,,,,,,,,,,,
admire,vb,look up to,"bewonder, Belook",bewonder, Belook,,,,,,,,,,,,,,,,,,,,,,,,
admission,n,doorway,thwaring,thwaring,,,,,,,,,,,,,,,,,,,,,,,,,
admit,vb,"let in, acknowledge, welcome, greet, take in\nconfess: own up","andet (<OE andhetan)\ngive to (cf. NHG zugeben, Du. toegeven)\nconfess: beknow (Eng.)\nsense to join a club, society, admit to hospital, etc: Instep, Onsend, Tosend, Intake",andet ,<OE andhetan)\ngive to ,cf. NHG zugeben, Du. toegeven)\nconfess: beknow ,Eng.)\nsense to join a club, society, admit to hospital, etc: Instep, Onsend, Tosend, Intake,,,,,,,,,,,,,,,
admonish,vb,"chide, forewarn, upbraid, warn","tell off, man (<OE manian)",tell off, man ,<OE manian),,,,,,,,,,,,,,,,,,,,,,,
adolescence,n,youthhood,teenhood,teenhood,,,,,,,,,,,,,,,,,,,,,,,,,
adolescent,n,"youth, youngling, youngster, teen",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adopt,vb,"take on, follow; take in,mother, rear, foster,bring up, take care of",intake,intake,,,,,,,,,,,,,,,,,,,,,,,,,
adoption,n,fostering,intaking,intaking,,,,,,,,,,,,,,,,,,,,,,,,,
adorable,adj,"comely, lovely, looksome",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adorn,vb,"bedeck (Barnes), yare, trim",breen (<OE berenian)\nwith precious stones:astean (<OE āstæna āstænan),breen ,<OE berenian)\nwith precious stones:astean ,<OE āstæna āstænan),,,,,,,,,,,,,,,,,,,,,,,
adrenaline,n,-,thringweald,thringweald,,,,,,,,,,,,,,,,,,,,,,,,,
adulation,n,-,hallowing,hallowing,,,,,,,,,,,,,,,,,,,,,,,,,
adult,n,grown-up,"fullwaxener (see Eng. waxen), waxen",fullwaxener ,see Eng. waxen), waxen,,,,,,,,,,,,,,,,,,,,,,,
adulthood,n,-,waxenhood,waxenhood,,,,,,,,,,,,,,,,,,,,,,,,,
adultery,n,-,"wedlock breach, Farlegarness (<OS Farlegarnessi)",wedlock breach, Farlegarness ,<OS Farlegarnessi),,,,,,,,,,,,,,,,,,,,,,,
adumbrate,vb,outline,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
advance,n,"inroads, headway; breakthroughin advance: beforehand",forthgoing,forthgoing,,,,,,,,,,,,,,,,,,,,,,,,,
advanced,adj,"manifold, knotted, snarled",forthstridden,forthstridden,,,,,,,,,,,,,,,,,,,,,,,,,
advancing,adj,striding,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
advantage,n,"foredeal, high ground, upper-hand","boot, behoof, upside",boot, behoof, upside,,,,,,,,,,,,,,,,,,,,,,,
advantageous,adj,"helpful, worthwhile","behovely, frimful/frimly (<OE frimlic)",behovely, frimful/frimly ,<OE frimlic),,,,,,,,,,,,,,,,,,,,,,,
advection,n,,"Tobearing, Atbearing, Onbearing",Tobearing, Atbearing, Onbearing,,,,,,,,,,,,,,,,,,,,,,,
advent,n,"coming, onset",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
adventure,n,"happening, time; flutter, throw, undertaking, fare",rose (<OE rās)\nwayspell (cf. Sw.vågspel),rose ,<OE rās)\nwayspell ,cf. Sw.vågspel),,,,,,,,,,,,,,,,,,,,,,,
adventurous,adj,"daring, free-swinging, gutsy, bold",rosey,rosey,,,,,,,,,,,,,,,,,,,,,,,,,
adverb,n,-,"byword (cf. NHG. Beiwort, Du. bijwoord, Dn. biord)",byword ,cf. NHG. Beiwort, Du. bijwoord, Dn. biord),,,,,,,,,,,,,,,,,,,,,,
adversarial,n,-,"thwartsome (Barnes), witherlike",thwartsome ,Barnes), witherlike,,,,,,,,,,,,,,,,,,,,,,,
adversary,n,"foe, witherling","withersake (<OE wiþersaca, cf. NGH. Widersacher)",withersake ,<OE wiþersaca, cf. NGH. Widersacher),,,,,,,,,,,,,,,,,,,,,,,
adversity,n,"ill, knock, mishap; hardship, hurdle, pitfall","thwartsomeness, hardhap, witherness",thwartsomeness, hardhap, witherness,,,,,,,,,,,,,,,,,,,,,,,
adversive,n,-,"thwartsome, withersome",thwartsome, withersome,,,,,,,,,,,,,,,,,,,,,,,,
advertize,vb,"play up, show off",showmede,showmede,,,,,,,,,,,,,,,,,,,,,,,,,
advertisement,n,showing,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
advice,n,"tip, help","rede (<OE raed, cf. Du. raad, NGH. Rat)",rede ,<OE raed, cf. Du. raad, NGH. Rat),,,,,,,,,,,,,,,,,,,,,,
advisable,adj,,Redesome (cf. NHG ratsam),Redesome ,cf. NHG ratsam),,,,,,,,,,,,,,,,,,,,,,,,
advise,vb,-,"berede, mind",berede, mind,,,,,,,,,,,,,,,,,,,,,,,,
advocacy,n,backing,"forespeech (<OEforespræċ, cf. NHG. Fürsprache, Du. voorspraak)",forespeech ,<OEforespræċ, cf. NHG. Fürsprache, Du. voorspraak),,,,,,,,,,,,,,,,,,,,,,
advocate,n/vb,"plead for, uphold, back up;spokesman, stand up for","forspeak (<OE foresprecan, NHG fürsprechen)",forspeak ,<OE foresprecan, NHG fürsprechen),,,,,,,,,,,,,,,,,,,,,,,
aerial,adj,-,loften (<OE lyften),loften ,<OE lyften),,,,,,,,,,,,,,,,,,,,,,,,
aerodynamic,adj,streamlined,"wind deft, windfit, loftlithe",wind deft, windfit, loftlithe,,,,,,,,,,,,,,,,,,,,,,,
aerodynamics,n,-,loftcraft (calque Gk.),loftcraft ,calque Gk.),,,,,,,,,,,,,,,,,,,,,,,,
aeronaut,n,-,roomfarer (room = space; cf. NHG Raum...),roomfarer ,room = space; cf. NHG Raum...),,,,,,,,,,,,,,,,,,,,,,,,
aerospace,n,-,loftroom,loftroom,,,,,,,,,,,,,,,,,,,,,,,,,
aesir,n,-,"oasses (<OE os, -ir is an ON plural)",oasses ,<OE os, -ir is an ON plural),,,,,,,,,,,,,,,,,,,,,,,
aesthetic,adj,"comely, fair",wlitty (<OE wlitig),wlitty ,<OE wlitig),,,,,,,,,,,,,,,,,,,,,,,,
affair,n,fling; blowout; handiwork;happening; business,inting (<OE intinga),inting ,<OE intinga),,,,,,,,,,,,,,,,,,,,,,,,
affect,vb,"inflow, sway; wend, shift, switch, Iwake (< OE\ngewaecan), Ifreme (<OE ge-freme) Awork (<OE a-wyrcan)",frother (Du. veranderen),frother ,Du. veranderen),,,,,,,,,,,,,,,,,,,,,,,,
affection,n,fondness; illness; leaning; hallmark,child: bairnlove (<OE bearnlufe),child: bairnlove ,<OE bearnlufe),,,,,,,,,,,,,,,,,,,,,,,,
affectionate,adj,"loving, warm-hearted",lovesome (Barnes),lovesome ,Barnes),,,,,,,,,,,,,,,,,,,,,,,,
affiance,vb,betroth,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
affinity,n,"leaning, kinship, Sibred",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
affirm,vb,-,"foraye (Barnes),begean (<OE begæn)",foraye ,Barnes),begean ,<OE begæn),,,,,,,,,,,,,,,,,,,,,,
affirmative,adv,"aye, yea, so, yes, yeah, yep","yea-some, yea-ly, ayesome",yea-some, yea-ly, ayesome,,,,,,,,,,,,,,,,,,,,,,,
affix,n,-,wordfastening,wordfastening,,,,,,,,,,,,,,,,,,,,,,,,,
afflict,vb,"ail, smite, dretch","swench (<OE swinc),beweal (<OE bewælan),thrysk (<OE ġeþryscan)",swench ,<OE swinc),beweal ,<OE bewælan),thrysk ,<OE ġeþryscan),,,,,,,,,,,,,,,,,,,,
affluence,n,"wealth, riches, fat",weal,weal,,,,,,,,,,,,,,,,,,,,,,,,,
affluent,adj,"wealthy, well-off, well-to-dorich, fat",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
afraid,adj,"aghast, fearful, frightened",afeared,afeared,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,n,-,Highsun,Highsun,,,,,,,,,,,,,,,,,,,,,,,,,
age,vb,"olden: mellow, ripen, elden",eld,eld,,,,,,,,,,,,,,,,,,,,,,,,,
