English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,n,-,"Two Narrows, Egipt (<OE)Ancient: Blackland, Bankland\nNiland (""Nile Land"")",Two Narrows, Egipt ,<OE)Ancient: Blackland, Bankland\nNiland ,"""Nile Land"")",,,,,,,,,,,,,,,,,,,,,
ejaculate,vb,"spout, toss, cast out; jizz (slang), cum/come (slang, vulgar)",indrive (<OE indrífan); outseed,indrive ,<OE indrífan); outseed,,,,,,,,,,,,,,,,,,,,,,,,
eject,vb,"cast out, kick out, throw out, turf out",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
elaborate,adj,"spelled out; thorough, thought through","swotel, overwrought",swotel, overwrought,,,,,,,,,,,,,,,,,,,,,,,,
elastic,adj,"rubbery, springy, stretchy, stretching, whippy",stretchingly,stretchingly,,,,,,,,,,,,,,,,,,,,,,,,,
elate,vb,"uplift, stir up, gladden",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
elect,vb,"choose, wale",forechoose (cf. Du. verkiezen),forechoose ,cf. Du. verkiezen),,,,,,,,,,,,,,,,,,,,,,,,
election,n,choosing; the wale,"corenness, chosenness (cf. OE corennes)",corenness, chosenness ,cf. OE corennes),,,,,,,,,,,,,,,,,,,,,,,
electric,adj,-,"sparkalne, sparkly, sparkwork (an electrician is often called a 'sparky'), glarum (<OE glærum ... dat. pl. for amber), thunderwork, thundery, stream-, streamfed",sparkalne, sparkly, sparkwork ,an electrician is often called a 'sparky'), glarum ,<OE glærum ... dat. pl. for amber), thunderwork, thundery, stream-, streamfed,,,,,,,,,,,,,,,,
electrician,n,sparky,sparksmith,sparksmith,,,,,,,,,,,,,,,,,,,,,,,,,
electricity,n,-,"alneflow (alne, “energy” OED), alnestream; streamwork, streaming; sparkflow,sparkstream, lightflow, wattflow, thunderflow, thundermight, thundersprack, ghostfire (Ic.), Faraday's candle; lightkin.",alneflow ,alne, “energy” OED), alnestream; streamwork, streaming; sparkflow,sparkstream, lightflow, wattflow, thunderflow, thundermight, thundersprack, ghostfire ,Ic.), Faraday's candle; lightkin.,,,,,,,,,,,,
electrocution,n,-,"sparkbite, sparkfang; sparkdeath",sparkbite, sparkfang; sparkdeath,,,,,,,,,,,,,,,,,,,,,,,,
electromagnetism,n,-,"sparkdraught, streamloading; sparklodestonedom",sparkdraught, streamloading; sparklodestonedom,,,,,,,,,,,,,,,,,,,,,,,,
electromagnetic,adj,-,"sparkdrawing, streamladen, streamloaded, sparklodestonely",sparkdrawing, streamladen, streamloaded, sparklodestonely,,,,,,,,,,,,,,,,,,,,,,
electro-mechanical,adj,-,sparkworkcraftly,sparkworkcraftly,,,,,,,,,,,,,,,,,,,,,,,,,
electron,n,-,"lightbit, sparkling, sparkmote\namberling, glarumod (glarum+od ... see talk)",lightbit, sparkling, sparkmote\namberling, glarumod ,glarum+od ... see talk),,,,,,,,,,,,,,,,,,,,,
electronic,adj,-,"lightfed; sparklingly, sparkmotely, sparkworkish",lightfed; sparklingly, sparkmotely, sparkworkish,,,,,,,,,,,,,,,,,,,,,,,
elegant(ce),n/adj,"trim(ness), handsome",smicker (<OE smicer),smicker ,<OE smicer),,,,,,,,,,,,,,,,,,,,,,,,
element,n,-,"eredust (ere ~ NHÞ ‘’ur,’’ “original,” dust = “matter”), erestuff, firststuff, shaftroot, dealock (<deal, a part, + -ock, diminutive ending, <OE -uc)",eredust ,ere ~ NHÞ ‘’ur,’’ “original,” dust = “matter”), erestuff, firststuff, shaftroot, dealock ,<deal, a part, + -ock, diminutive ending, <OE -uc),,,,,,,,,,,,,
elephant,n,tusker,"elp, armnoser, limbnoser",elp, armnoser, limbnoser,,,,,,,,,,,,,,,,,,,,,,,
elevate,vb,"lift, lift up, uppen, hoist, heave up, raise",aloofen,aloofen,,,,,,,,,,,,,,,,,,,,,,,,,
elevation,n,"height, loftiness, heaving",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
elevator,n,"lift, lifter",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
elite,adj,picky,athel-like,athel-like,,,,,,,,,,,,,,,,,,,,,,,,,
ellipse,n,-,"ringshadow, wheelshadow",ringshadow, wheelshadow,,,,,,,,,,,,,,,,,,,,,,,,
ellipsis,n,-,"outlettingtoken (cf. NHG Auslassungszeichen; may also mean apostrophe), belettelsetoken (cf. Du. beletselteken), throughdots (cf. Du. doorlooppuntjes), threedot",outlettingtoken ,cf. NHG Auslassungszeichen; may also mean apostrophe), belettelsetoken ,cf. Du. beletselteken), throughdots ,cf. Du. doorlooppuntjes), threedot,,,,,,,,,,,,,,,,,,,
elocution,n,-,"talecraft (OE talu; this would mean “the art of story-telling”); speechcraft, uttercraft",talecraft ,OE talu; this would mean “the art of story-telling”); speechcraft, uttercraft,,,,,,,,,,,,,,,,,,,,,,,
elongate,vb,"lengthen, stretch",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
eloquent,adj,"silver-tongued, well-spoken","quethel (<OE cwedol), wordskilled (cf. NHG wortgewandt)",quethel ,<OE cwedol), wordskilled ,cf. NHG wortgewandt),,,,,,,,,,,,,,,,,,,,,,
eloquence,n,-,"wordskillness, wellspokenness",wordskillness, wellspokenness,,,,,,,,,,,,,,,,,,,,,,,,
email (but mail is from a Germanic source),n/vb,-,wirewrit,wirewrit,,,,,,,,,,,,,,,,,,,,,,,,,
emanate,vb,"cast, give out, send out; out wave",outstreal (cf. NHG ausstrahlen),outstreal ,cf. NHG ausstrahlen),,,,,,,,,,,,,,,,,,,,,,,,
emasculate,vb,unman,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
embarrass,vb,shame; faze,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
embassy,n,"sent men, errand men; tidings, news",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
embassy (house),n,-,"sentmenhouse, errandhouse; tidingshouse, newshouse",sentmenhouse, errandhouse; tidingshouse, newshouse,,,,,,,,,,,,,,,,,,,,,,,
embody,vb,"inbody, inflesh",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
embrace,vb,"fathom, hug","beclip, bearm, umgripe, umclip (<OE ymbclyppan)",beclip, bearm, umgripe, umclip ,<OE ymbclyppan),,,,,,,,,,,,,,,,,,,,,
embroidery,n,"needlework, needlecraft",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
embryo,n,-,"wightblossom, womb-berry, new kin",wightblossom, womb-berry, new kin,,,,,,,,,,,,,,,,,,,,,,,
emerald,adj/n,-,greenhurst,greenhurst,,,,,,,,,,,,,,,,,,,,,,,,,
emerge,vb,"come up, crop up, spring up","kythe, forthkythe",kythe, forthkythe,,,,,,,,,,,,,,,,,,,,,,,,
emergency,n,need,"needstand, needfall (cf. NHG Notstand, Notfall)",needstand, needfall ,cf. NHG Notstand, Notfall),,,,,,,,,,,,,,,,,,,,,,
emigrant,n,-,"outgoer, outwanderer",outgoer, outwanderer,,,,,,,,,,,,,,,,,,,,,,,,
eminence,n,"height, hill, knoll, link, mound, barrow, hurst, down, wold",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
emissary,n,-,sentman (Ice. sendiman); offsent (cf. NHG Abgesandte),sentman ,Ice. sendiman); offsent ,cf. NHG Abgesandte),,,,,,,,,,,,,,,,,,,,,,,
emit,vb,"spout; forthsend, give out, send out, shine, give off, outsend",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
emotion,n,"stirring, feeling; warmth, white heat","soulgrip, heartgrip",soulgrip, heartgrip,,,,,,,,,,,,,,,,,,,,,,,,
emotional,adj,"stirring, heartfelt; overwrought, worked up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
empathy,n,"fellow-feel, samefeel",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
emperor,n,king of kings,"highking (cf. Manx ard-ree), highwield (wield < OE walda), Kiser, overlord, highcaser (<OE)",highking ,cf. Manx ard-ree), highwield ,wield < OE walda), Kiser, overlord, highcaser ,<OE),,,,,,,,,,,,,,,,,,
emphasize,vb,"underscore, highlight",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
empire,n,-,"richdom (<OE ricedom, cf. OHG rihhituom), anweald (<OE), rich, caserdom, rike (<ME); overdom",richdom ,<OE ricedom, cf. OHG rihhituom), anweald ,<OE), rich, caserdom, rike ,<ME); overdom,,,,,,,,,,,,,,,,,
empiricism,n,-,fandlieving,fandlieving,,,,,,,,,,,,,,,,,,,,,,,,,
employ,vb,"hire, hight, enthrall; own",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
employee,n,"underling, hireling, worker, staff, knave, churl, thrall, henchman, hightman",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
employer,n,hirer,"heerman (“captain,” order giver), workgiver (cf. Du. werkgever, Af. werkgewer)",heerman ,“captain,” order giver), workgiver ,cf. Du. werkgever, Af. werkgewer),,,,,,,,,,,,,,,,,,,,
employment,n,-,"hiring, swinkhood, thralldom",hiring, swinkhood, thralldom,,,,,,,,,,,,,,,,,,,,,,,
empress,n,-,highqueen (cf. Manx ard-venrein),highqueen ,cf. Manx ard-venrein),,,,,,,,,,,,,,,,,,,,,,,,
emulate,vb,"ape, poppinjay, follow after; underfollow",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
emulsion,n,"forblending, waterbutter",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
en-,prefix,"in-, on-, be-","umb-, um-",umb-, um-,,,,,,,,,,,,,,,,,,,,,,,,
enact,vb,belaw; hight,umdo,umdo,,,,,,,,,,,,,,,,,,,,,,,,,
en masse,adv,in bulk,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
en route,phrase,on the way,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
enchant,vb,"spellbind; wile, bewitch, hex",bewile,bewile,,,,,,,,,,,,,,,,,,,,,,,,,
enchantment,n,"bliss; spell, witchcraft, hex",bewiling,bewiling,,,,,,,,,,,,,,,,,,,,,,,,,
enchantress,n,witch,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
encircle,vb,"begird, beclip, beset, gird, gird about, enring, inring, ring about, loop","umwreathe, umring (cf. NHG umringen); set aring, bering, enbee (bee = “circle”)",umwreathe, umring ,cf. NHG umringen); set aring, bering, enbee ,bee = “circle”),,,,,,,,,,,,,,,,,,,,
enclose,vb,"bound, enfold, enwrap, impound, pen, hedge, hem in, wall in",umfold,umfold,,,,,,,,,,,,,,,,,,,,,,,,,
enclosure,n,"haw, pen, paddock, field, yard, earth",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
encode,vb,overset; bestave,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
encompass,vb,"hold, deal with, take in; ring, girdle","inwreath, umhold, bethring (<OE beþringan), belouk (<ME Bilouketh)",inwreath, umhold, bethring ,<OE beþringan), belouk ,<ME Bilouketh),,,,,,,,,,,,,,,,,,,,
encounter,vb,"meet, go against; live through, undergo",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
encourage,vb,"stouten, strengthen, bolster, give heart to, hearten on, mood on, foster, upprop, help, egg on, goad, spur, will on","bield (<OE bieldan), alne (OED), beborough (fortify)",bield ,<OE bieldan), alne ,OED), beborough ,fortify),,,,,,,,,,,,,,,,,,,,
encouragement,n,-,"stoutening, alne (OED)",stoutening, alne ,OED),,,,,,,,,,,,,,,,,,,,,,,
encroachment,n,"overstep, inroads",overstepping,overstepping,,,,,,,,,,,,,,,,,,,,,,,,,
encryption,n,stave hiding,forkeying,forkeying,,,,,,,,,,,,,,,,,,,,,,,,,
encumber,vb,"block, burden, hinder, weigh down, hold back, tie up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
encumbrance,n,"burden, hindering, faltering",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
encyclopedia,n,-,"worldkenning, wisdombook (<OE wīsdōmbōc), all-lore",worldkenning, wisdombook ,<OE wīsdōmbōc), all-lore,,,,,,,,,,,,,,,,,,,,,,
encyclopedic,n,"all-in, in-depth, thorough",all-lorish,all-lorish,,,,,,,,,,,,,,,,,,,,,,,,,
endeavour,n,-,ettel,ettel,,,,,,,,,,,,,,,,,,,,,,,,,
endoplasmic reticulum,n,-,"lifebrick net, lifebrick web",lifebrick net, lifebrick web,,,,,,,,,,,,,,,,,,,,,,,,
endorse,vb,"stamp, back up",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
endow,vb,"gift; underwrite, give",indow,indow,,,,,,,,,,,,,,,,,,,,,,,,,
endowment,n,"knack, gift",life-gift,life-gift,,,,,,,,,,,,,,,,,,,,,,,,,
endure,vb,"last, hold out, abear, withstand, undergo, bear, keep on, put up with, hold through, stand through, bear through","dree (<OE drēogan), thole, raven (<OE ræfnian)",dree ,<OE drēogan), thole, raven ,<OE ræfnian),,,,,,,,,,,,,,,,,,,,,
endurance,n,"strength, alne, doggedness; lastingness","dreeing, tholing, throughholding, throughbearing, throughstanding",dreeing, tholing, throughholding, throughbearing, throughstanding,,,,,,,,,,,,,,,,,,,,,
enemy,n,"foe, foeman, fiend, the other side","fiendsheathe (<OE fēondsceaða), scathe (<OE scaða)boastful: yelpsheathe (<OE ġielpsceaða)",fiendsheathe ,<OE fēondsceaða), scathe ,<OE scaða)boastful: yelpsheathe ,<OE ġielpsceaða),,,,,,,,,,,,,,,,,,,,,
energy,n,"alne (OED), fire; work, flow, beans, drive\nfeel energetic: feel one's oats","alne, coveness (<OE cāfnes), dodrive, inwork (calque), spring, go, might, workfire",alne, coveness ,<OE cāfnes), dodrive, inwork ,calque), spring, go, might, workfire,,,,,,,,,,,,,,,,
enervate,vb,"unman, weaken, unsettle, faze",unalne,unalne,,,,,,,,,,,,,,,,,,,,,,,,,
enforce,vb,"helmstand, wield",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
engaged,adj,"working, busy, tied up; betrothed, pledged",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
engine,n,"craft; means, gearwork, burner","gearwork, iron horse",gearwork, iron horse,,,,,,,,,,,,,,,,,,,,,,,,
engineer,n,"wright, sarrow wright (“miracle” or technology-designer), craftsman",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
enigma,n,"riddle, brainteaser",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
enjoy,vb,"(intrans.) wen; gladden oneself, have lust, be gleeful over;\n(trans.) like, belove",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
enjoyment,n,"wen; fun, gladness, happiness","brooking (<OE brucan), neeting (<OE neotan, cf. NHG genießen)",brooking ,<OE brucan), neeting ,<OE neotan, cf. NHG genießen),,,,,,,,,,,,,,,,,,,,,
enlarge,vb,"swell, greaten",forgreaten (cf. NHG vergrößern),forgreaten ,cf. NHG vergrößern),,,,,,,,,,,,,,,,,,,,,,,,
enmity,n,"foedom, hatred, bitterness, ill will","feaghth/feaght/faught (<OE fæhþ), fiendship (cf. NHG Feindschaft)",feaghth/feaght/faught ,<OE fæhþ), fiendship ,cf. NHG Feindschaft),,,,,,,,,,,,,,,,,,,,,,
ennui,n,"boredom, tiredness, listlessness",wanfeeling,wanfeeling,,,,,,,,,,,,,,,,,,,,,,,,,
enrich,vb,"make wealthy, richen (""rich"" was semantically influenced by French, but from a native Germanic root)","wealy (<OE weligian ""to enrich"", derived from welig ""rich, wealthy"")",wealy ,"<OE weligian ""to enrich"""," derived from welig ""rich"," wealthy"")",,,,,,,,,,,,,,,,,,,,,,
enrichment,n,-,wealying (see above),wealying ,see above),,,,,,,,,,,,,,,,,,,,,,,,
ensnare,vb,"grin (obsolete or dialectal, <OE noun grin akin to grīn ""snare"")",swarl,swarl,,,,,,,,,,,,,,,,,,,,,,,,,
ensue,vb,"follow, come after",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
ensure,vb,see to it,"sicker (Eng., calque of Ger. speeches)\nsickerstell, sickerput, sickermake (calque of all Ger. speeches) (see stell)",sicker ,Eng., calque of Ger. speeches)\nsickerstell, sickerput, sickermake ,calque of all Ger. speeches) ,see stell),,,,,,,,,,,,,,,,,,,
enter,vb,"go into, come into, step into, begin, in faredata entry: key in, input","ingo, intread, betread (calque of Ger. speeches)",ingo, intread, betread ,calque of Ger. speeches),,,,,,,,,,,,,,,,,,,,,,
entrance,vb,"bewitch, spellbind",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
enterprise,n,"business, undertaking; readiness, get-up-and-go",undernimming,undernimming,,,,,,,,,,,,,,,,,,,,,,,,,
entheogen,n,holyspring,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
enthusiasm,n,"white heat; keenness, warmth, thrill","bedrivenness, listfulness, lustfulness, felelust, felelist",bedrivenness, listfulness, lustfulness, felelust, felelist,,,,,,,,,,,,,,,,,,,,,
entice,vb,"draw to, spur, goad, wheedle, sweet talk","forlead (<OE forlǽdan, cf. NHG verleiten)",forlead ,<OE forlǽdan, cf. NHG verleiten),,,,,,,,,,,,,,,,,,,,,,,
entire,adj,"whole, full; sound, unharmed, without a scratch",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
entirely,adv,"fully, thoroughly, outright, wholly, altogether",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
entirety,n,"whole, fullness","all-hood, alhood",all-hood, alhood,,,,,,,,,,,,,,,,,,,,,,,,
entitle,vb,"let, brook (not to be confused with brook as in used), give right, have right","bid (opposite of forbid), aleave (<OE aliefan), bename (cf. NHG betitelen)",bid ,opposite of forbid), aleave ,<OE aliefan), bename ,cf. NHG betitelen),,,,,,,,,,,,,,,,,,,,
entitled,adj (p.p.),"named, called, yclept, ycleped (poetic), deemed",hight (<OE hatan),hight ,<OE hatan),,,,,,,,,,,,,,,,,,,,,,,,
entrail,n,innard,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
entreat,vb,-,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
entreaty,n,-,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
entrepreneur,n,"business(wo)man, undertaker",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
entry,n,"threshold, way in, gateway, infaring",inway,inway,,,,,,,,,,,,,,,,,,,,,,,,,
enumerate,vb,-,"tell out (cf. NLG uttellen, NHG auszählen), sum up (cf. Du. opsommen)",tell out ,cf. NLG uttellen, NHG auszählen), sum up ,cf. Du. opsommen),,,,,,,,,,,,,,,,,,,,,
enunciate,vb,"say sharply, speak sharply, utter sharply","outspeak (cf. NHG aussprechen), outdeal (cf. Sw. uttala)",outspeak ,cf. NHG aussprechen), outdeal ,cf. Sw. uttala),,,,,,,,,,,,,,,,,,,,,,
envelop,vb,"shroud, wrap, hide, swaddle","bewrap, inshroud, inwomb, overfathom (<OE oferfaðman)",bewrap, inshroud, inwomb, overfathom ,<OE oferfaðman),,,,,,,,,,,,,,,,,,,,,
envelope,n,-,"kite (US prison slang), wrapper, wordholder, mailholder",kite ,US prison slang), wrapper, wordholder, mailholder,,,,,,,,,,,,,,,,,,,,,
envious,adj,-,"evestful, andy jealous (<OE andig)",evestful, andy jealous ,<OE andig),,,,,,,,,,,,,,,,,,,,,,,
environment,n,setting,"umworld (cf. NHG umwelt), umsetting, umwerve (<OE 'ymbhwyrft')lifeworld (cf. Du. levenswereld)",umworld ,cf. NHG umwelt), umsetting, umwerve ,<OE 'ymbhwyrft')lifeworld ,cf. Du. levenswereld),,,,,,,,,,,,,,,,,,,,
envision,vb,"foretell, foresee",mindsee,mindsee,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,n,"sent one, spokes(wo)man","sent (cf. Du gezand, NHG Gesandter), offsent, sent off (cf. Du afgezand, NHG Abgesandter)",sent ,cf. Du gezand, NHG Gesandter), offsent, sent off ,cf. Du afgezand, NHG Abgesandter),,,,,,,,,,,,,,,,,,,
envy,n,-,"nithe (Eng., NHG neid, Du. nijd, Swed, nid), onde, havelust, seething for",nithe ,Eng., NHG neid, Du. nijd, Swed, nid), onde, havelust, seething for,,,,,,,,,,,,,,,,,
enzyme,n,-,"yeaster, yeastuff",yeaster, yeastuff,,,,,,,,,,,,,,,,,,,,,,,,
ephemeral,adj,"fleeting, short-lived","dwimmerly, dwimmerlike",dwimmerly, dwimmerlike,,,,,,,,,,,,,,,,,,,,,,,,
ephemeris,n,-,"tunglebook, starbook",tunglebook, starbook,,,,,,,,,,,,,,,,,,,,,,,,
epic,n/adj,"adj: lofty, high-flown",held (<OE hæleþ),held ,<OE hæleþ),,,,,,,,,,,,,,,,,,,,,,,,
epicentrum,n,-,"heart, middleord",heart, middleord,,,,,,,,,,,,,,,,,,,,,,,,
epiglottis,n,-,overtongue (cf. Greek),overtongue ,cf. Greek),,,,,,,,,,,,,,,,,,,,,,,,
epilepsy,n,falling sickness,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
epilogue,n,"afterword, afterthought","endspeech, endwrit, aftertale, last words, end tale",endspeech, endwrit, aftertale, last words, end tale,,,,,,,,,,,,,,,,,,,,,
epiphany,n,-,"sweetling (<OE sweotolung), atewing, heavensight, heaventhoughtto have an (...): to be heavenstruck",sweetling ,<OE sweotolung), atewing, heavensight, heaventhoughtto have an ,...): to be heavenstruck,,,,,,,,,,,,,,,,,,,,
Epiphany,n,-,"Sweetlingday (<OE sweotolungdæg), Atewmas (after Christmas, Candlemas, etc.)",Sweetlingday ,<OE sweotolungdæg), Atewmas ,after Christmas, Candlemas, etc.),,,,,,,,,,,,,,,,,,,,
episode,n,,follow (cf. NHG. Folge),follow ,cf. NHG. Folge),,,,,,,,,,,,,,,,,,,,,,,,
epistemology,n,-,"knowledgelore, knowlore",knowledgelore, knowlore,,,,,,,,,,,,,,,,,,,,,,,,
epistle,n,-,errandwrit (<OE ærendġewrit) pl: errandwriotu (<OE ærendġewriotu),errandwrit ,<OE ærendġewrit) pl: errandwriotu ,<OE ærendġewriotu),,,,,,,,,,,,,,,,,,,,,,,
epithet,n,"byname, handle",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
equal,n,match,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
equality,n,"fairness; sameness, alikeness, evenness, likeness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
equanimity,n,steadiness,evenmood,evenmood,,,,,,,,,,,,,,,,,,,,,,,,,
equate,vb,"match, even up; offset, liken",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
equation,n,"match, likeness","likening (calque), besaming, bematching",likening ,calque), besaming, bematching,,,,,,,,,,,,,,,,,,,,,,
equator,n,-,"evener (cf. Fr.. evener, Du. evenaar)girdle, midring",evener ,cf. Fr.. evener, Du. evenaar)girdle, midring,,,,,,,,,,,,,,,,,,,,,,
equatorium,n,-,"stargirdler, starlengthreckoner",stargirdler, starlengthreckoner,,,,,,,,,,,,,,,,,,,,,,,,
equidistant,adj,"midway, evenfar",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Equestria,n,-,Perdland,Perdland,,,,,,,,,,,,,,,,,,,,,,,,,
Equestrian,adj/n,"horsemanship, horse-riding, on-horseback.","horselandish, horselanding",horselandish, horselanding,,,,,,,,,,,,,,,,,,,,,,,,
equine,n/adj,"steed, horse, stot",adj: horsely,adj: horsely,,,,,,,,,,,,,,,,,,,,,,,,,
equinox,n,-,evennight (<OE efenniht),evennight ,<OE efenniht),,,,,,,,,,,,,,,,,,,,,,,,
equip,vb,"graith, (be)gear, fit (out), gear up, outfit, rig up, beweapon","ryst/rist (<OE hyrstan, cf. NHG rüsten, Du rusten)",ryst/rist ,<OE hyrstan, cf. NHG rüsten, Du rusten),,,,,,,,,,,,,,,,,,,,,,
equipment,n,"gear, graith","outrysting (cf. NHG Ausrüstung, Du. uitrusting)",outrysting ,cf. NHG Ausrüstung, Du. uitrusting),,,,,,,,,,,,,,,,,,,,,,,
equitable,adj,evenhanded,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
equivalent,n,"fellow, like, match, withstander","withersteck, witherbit, gainbit, gainsteck (cf. NHG Gegenstück), gainshtick (<English [gain- + steck], ""One who is against my part"", see Gainstander)",withersteck, witherbit, gainbit, gainsteck ,cf. NHG Gegenstück), gainshtick ,<English [gain- + steck]," ""One who is against my part""", see Gainstander),,,,,,,,,,,,,,,,,
era,n,"timespan, time, world, eld",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
eradicate,vb,wipe out,"forspill, naughten, uplock (<OE úpálúcan), uproot, wipe out",forspill, naughten, uplock ,<OE úpálúcan), uproot, wipe out,,,,,,,,,,,,,,,,,,,,
erase,vb,"rub out, root out, wipe out",unmark,unmark,,,,,,,,,,,,,,,,,,,,,,,,,
eraser,n,rubber,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
erect,n/vb,"upright, rear, set up, lift up",aheave (<OE ahebban),aheave ,<OE ahebban),,,,,,,,,,,,,,,,,,,,,,,,
erection,n,"1. building 2. hardon, boner",1. uprighting,1. uprighting,,,,,,,,,,,,,,,,,,,,,,,,,
ergo,conj/adv,"therefore, thus, forthy (att'd <OE for + thy, the instrumental form of the article)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
erinacine,n,hedgehog,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
eritrocyte,n,-,red bloodmote,red bloodmote,,,,,,,,,,,,,,,,,,,,,,,,,
ermine,n,"stoat, short-tailed weasel",northern weasel,northern weasel,,,,,,,,,,,,,,,,,,,,,,,,,
erotic,adj,"lovely, lewd, kinky, teasing",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
err,vb,wander,"dwole (<OE dwolian, cf Du dwalen)",dwole ,<OE dwolian, cf Du dwalen),,,,,,,,,,,,,,,,,,,,,,,
error,n,"dwale, wrong, slip, slip-up, mistake, blunder, flop (informal)","dwole (<OE dwola), dwoleship (<OE dwolscip)",dwole ,<OE dwola), dwoleship ,<OE dwolscip),,,,,,,,,,,,,,,,,,,,,,
erupt,vb,"flare up, blow up, break out, burst out",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
eruption,n,"outburst, outbreak",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
escalator,n,-,ridestairs; smart-stairs,ridestairs; smart-stairs,,,,,,,,,,,,,,,,,,,,,,,,,
escape,vb,"break out, flee, run off, shun, weasel out of","withfare (<OE wiþfaran), othshake (<OE oþscacan), (<OE losian), othshoot (<OE oþsceotan), othrun (<OE oþrinnan), aturn (<OE ætiernan), atlimp (<OE ætlimpan), outleap (<OE oþléapan), atfare (<OE ætfaran)\nby rowing: outrow (<OE oþrowan)\nby swimming: outswim (<OE oþswimman)",withfare ,<OE wiþfaran), othshake ,<OE oþscacan), ,<OE losian), othshoot ,<OE oþsceotan), othrun ,<OE oþrinnan), aturn ,<OE ætiernan), atlimp ,<OE ætlimpan), outleap ,<OE oþléapan), atfare ,<OE ætfaran)\nby rowing: outrow ,<OE oþrowan)\nby swimming: outswim ,<OE oþswimman),,,,,,
escape pod,n,-,fleepod,fleepod,,,,,,,,,,,,,,,,,,,,,,,,,
especially,adv,"namely, moreso, above all","hure (<OE huru), sundrily (cf. OE syndriglice), besunderly (cf. NHG besonders, Du. in het bijzonder)",hure ,<OE huru), sundrily ,cf. OE syndriglice), besunderly ,cf. NHG besonders, Du. in het bijzonder),,,,,,,,,,,,,,,,,,,
espionage,n,-,sleuthcraft,sleuthcraft,,,,,,,,,,,,,,,,,,,,,,,,,
essay,n,-,"spellwrit, lorewriting, lorewise writing",spellwrit, lorewriting, lorewise writing,,,,,,,,,,,,,,,,,,,,,,,
essence,n,"nub, heart, kernel, pith, being, whatness, broth, selfhood","wist (<OE), selfship",wist ,<OE), selfship,,,,,,,,,,,,,,,,,,,,,,,
essential,adj,"key, foremost",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
